,Days,Ab_1,Ab_2,Ab_3
0,0,0.0,0.0,0.0
1,1,0.24008755978349317,0.24008755978349317,0.24008755978349317
2,2,0.4274339083697216,0.4274339083697216,0.4274339083697216
3,3,0.5731217870432997,0.5731217870432997,0.5731217870432997
4,4,0.6859098728064876,0.6859098728064876,0.6859098728064876
5,5,0.7727200895968774,0.7727200895968774,0.7727200895968774
6,6,0.8390227402699498,0.8390227402699498,0.8390227402699498
7,7,0.8891408842457899,0.8891408842457899,0.8891408842457899
8,8,0.9264908933553718,0.9264908933553718,0.9264908933553718
9,9,0.9537725680149254,0.9537725680149254,0.9537725680149254
10,10,0.9731193898978069,0.9731193898978069,0.9731193898978069
11,11,0.9862172696665448,0.9862172696665448,0.9862172696665448
12,12,0.9943983957078198,0.9943983957078198,0.9943983957078198
13,13,0.9987154046818376,0.9987154046818376,0.9987154046818376
14,14,1.0,1.0,1.0
15,15,0.9989092791829483,0.9989092791829483,0.9989092791829483
16,16,0.9959623472959936,0.9959623472959936,0.9959623472959936
17,17,0.9915692532733565,0.9915692532733565,0.9915692532733565
18,18,0.9860538588648777,0.9860538588648777,0.9860538588648777
19,19,0.9796719124105803,0.9796719124105803,0.9796719124105803
20,20,0.9726253328929727,0.9726253328929727,0.9726253328929727
21,21,0.9650734988946701,0.9650734988946701,0.9650734988946701
22,22,0.9571421704717329,0.9571421704717329,0.9571421704717329
23,23,0.9489305402721647,0.9489305402721647,0.9489305402721647
24,24,0.9405168061588561,0.9405168061588561,0.9405168061588561
25,25,0.9319625753475063,0.9319625753475063,0.9319625753475063
26,26,0.9233163450671598,0.9233163450671598,0.9233163450671598
27,27,0.9146162533779143,0.9146162533779143,0.9146162533779143
28,28,0.90589225317912,0.90589225317912,0.90589225317912
29,29,0.8971678303534456,0.8971678303534456,0.8971678303534456
30,30,0.8884613616323981,0.8884613616323981,0.8884613616323981
31,31,0.8797871877265365,0.8797871877265365,0.8797871877265365
32,32,0.8711564614237488,0.8711564614237488,0.8711564614237488
33,33,0.8625778178403755,0.8625778178403755,0.8625778178403755
34,34,0.8540579041162786,0.8540579041162786,0.8540579041162786
35,35,0.845601798025775,0.845601798025775,0.845601798025775
36,36,0.8372133387966808,0.8372133387966808,0.8372133387966808
37,37,0.8288953885458191,0.8288953885458191,0.8288953885458191
38,38,0.8206500388794684,0.8206500388794684,0.8206500388794684
39,39,0.8124787741567248,0.8124787741567248,0.8124787741567248
40,40,0.8043826005028467,0.8043826005028467,0.8043826005028467
41,41,0.7963621477542847,0.7963621477542847,0.7963621477542847
42,42,0.7884177500112355,0.7884177500112355,0.7884177500112355
43,43,0.7805495092834543,0.7805495092834543,0.7805495092834543
44,44,0.7727573457744877,0.7727573457744877,0.7727573457744877
45,45,0.765041037606141,0.765041037606141,0.765041037606141
46,46,0.7574002521975086,0.7574002521975086,0.7574002521975086
47,47,0.7498345710485986,0.7498345710485986,0.7498345710485986
48,48,0.7423435093116264,0.7423435093116264,0.7423435093116264
49,49,0.7349265312430586,0.7349265312430586,0.7349265312430586
50,50,0.7275830624002826,0.7275830624002826,0.7275830624002826
51,51,0.7203124992656429,0.7203124992656429,0.7203124992656429
52,52,0.7131142168374237,0.7131142168374237,0.7131142168374237
53,53,0.7059875746142186,0.7059875746142186,0.7059875746142186
54,54,0.698931921309712,0.698931921309712,0.698931921309712
55,55,0.691946598564226,0.691946598564226,0.691946598564226
56,56,0.6850309438635351,0.6850309438635351,0.6850309438635351
57,57,0.6781842928313172,0.6781842928313172,0.6781842928313172
58,58,0.671405981026716,0.671405981026716,0.671405981026716
59,59,0.664695345350928,0.664695345350928,0.664695345350928
60,60,0.658051725144932,0.658051725144932,0.658051725144932
61,61,0.651474463043263,0.651474463043263,0.651474463043263
62,62,0.6449629056351188,0.6449629056351188,0.6449629056351188
63,63,0.6385164039733379,0.6385164039733379,0.6385164039733379
64,64,0.6321343139632759,0.6321343139632759,0.6321343139632759
65,65,0.6258159966569043,0.6258159966569043,0.6258159966569043
66,66,0.6195608184721301,0.6195608184721301,0.6195608184721301
67,67,0.6133681513531516,0.6133681513531516,0.6133681513531516
68,68,0.6072373728843428,0.6072373728843428,0.6072373728843428
69,69,0.6011678663675359,0.6011678663675359,0.6011678663675359
70,70,0.5951590208705079,0.5951590208705079,0.5951590208705079
71,71,0.5892102312528323,0.5892102312528323,0.5892102312528323
72,72,0.5833208981739678,0.5833208981739678,0.5833208981739678
73,73,0.577490428087432,0.577490428087432,0.577490428087432
74,74,0.571718233224098,0.571718233224098,0.571718233224098
75,75,0.5660037315670189,0.5660037315670189,0.5660037315670189
76,76,0.5603463468196732,0.5603463468196732,0.5603463468196732
77,77,0.554745508369131,0.554745508369131,0.554745508369131
78,78,0.5492006512453221,0.5492006512453221,0.5492006512453221
79,79,0.5437112160773415,0.5437112160773415,0.5437112160773415
80,80,0.5382766490475247,0.5382766490475247,0.5382766490475247
81,81,0.5328964018438793,0.5328964018438793,0.5328964018438793
82,82,0.5275699316113258,0.5275699316113258,0.5275699316113258
83,83,0.5222967009021114,0.5222967009021114,0.5222967009021114
84,84,0.5170761776256803,0.5170761776256803,0.5170761776256803
85,85,0.5119078349982223,0.5119078349982223,0.5119078349982223
86,86,0.5067911514920781,0.5067911514920781,0.5067911514920781
87,87,0.5017256107851361,0.5017256107851361,0.5017256107851361
88,88,0.49671070171032927,0.49671070171032927,0.49671070171032927
89,89,0.49174591820531766,0.49174591820531766,0.49174591820531766
90,90,0.48683075926241925,0.48683075926241925,0.48683075926241925
91,91,0.4819647288788413,0.4819647288788413,0.4819647288788413
92,92,0.4771473360072516,0.4771473360072516,0.4771473360072516
93,93,0.47237809450671814,0.47237809450671814,0.47237809450671814
94,94,0.46765652309404043,0.46765652309404043,0.46765652309404043
95,95,0.4629821452954897,0.4629821452954897,0.4629821452954897
96,96,0.45835448939896856,0.45835448939896856,0.45835448939896856
97,97,0.45377308840660147,0.45377308840660147,0.45377308840660147
98,98,0.4492374799877596,0.4492374799877596,0.4492374799877596
99,99,0.4447472064325252,0.4447472064325252,0.4447472064325252
100,100,0.44030181460559664,0.44030181460559664,0.44030181460559664
101,101,0.43590085590063543,0.43590085590063543,0.43590085590063543
102,102,0.4315438861950546,0.4315438861950546,0.4315438861950546
103,103,0.42723046580524715,0.42723046580524715,0.42723046580524715
104,104,0.4229601594422517,0.4229601594422517,0.4229601594422517
105,105,0.41873253616785516,0.41873253616785516,0.41873253616785516
106,106,0.41454716935112784,0.41454716935112784,0.41454716935112784
107,107,0.4104036366253876,0.4104036366253876,0.4104036366253876
108,108,0.4063015198455918,0.4063015198455918,0.4063015198455918
109,109,0.4022404050461511,0.4022404050461511,0.4022404050461511
110,110,0.39821988239916334,0.39821988239916334,0.39821988239916334
111,111,0.394239546173063,0.394239546173063,0.394239546173063
112,112,0.39029899469168183,0.39029899469168183,0.39029899469168183
113,113,0.38639783029371855,0.38639783029371855,0.38639783029371855
114,114,0.38253565929261246,0.38253565929261246,0.38253565929261246
115,115,0.37871209193681676,0.37871209193681676,0.37871209193681676
116,116,0.37492674237046925,0.37492674237046925,0.37492674237046925
117,117,0.3711792285944555,0.3711792285944555,0.3711792285944555
118,118,0.3674691724278603,0.3674691724278603,0.3674691724278603
119,119,0.36379619946980507,0.36379619946980507,0.36379619946980507
120,120,0.36015993906166544,0.36015993906166544,0.36015993906166544
121,121,0.3565600242496675,0.3565600242496675,0.3565600242496675
122,122,0.35299609174785646,0.35299609174785646,0.35299609174785646
123,123,0.34946778190143646,0.34946778190143646,0.34946778190143646
124,124,0.3459747386504764,0.3459747386504764,0.3459747386504764
125,125,0.34251660949397794,0.34251660949397794,0.34251660949397794
126,126,0.3390930454543031,0.3390930454543031,0.3390930454543031
127,127,0.3357037010419576,0.3357037010419576,0.3357037010419576
128,128,0.3323482342207257,0.3323482342207257,0.3323482342207257
129,129,0.3290263063731534,0.3290263063731534,0.3290263063731534
130,130,0.3257375822663774,0.3257375822663774,0.3257375822663774
131,131,0.3224817300182945,0.3224817300182945,0.3224817300182945
132,132,0.3192584210640705,0.3192584210640705,0.3192584210640705
133,133,0.31606733012298216,0.31606733012298216,0.31606733012298216
134,134,0.312908135165592,0.312908135165592,0.312908135165592
135,135,0.30978051738125095,0.30978051738125095,0.30978051738125095
136,136,0.30668416114592467,0.30668416114592467,0.30668416114592467
137,137,0.3036187539903431,0.3036187539903431,0.3036187539903431
138,138,0.30058398656846746,0.30058398656846746,0.30058398656846746
139,139,0.29757955262627206,0.29757955262627206,0.29757955262627206
140,140,0.2946051489708394,0.2946051489708394,0.2946051489708394
141,141,0.29166047543976253,0.29166047543976253,0.29166047543976253
142,142,0.28874523487085507,0.28874523487085507,0.28874523487085507
143,143,0.2858591330721623,0.2858591330721623,0.2858591330721623
144,144,0.2830018787922731,0.2830018787922731,0.2830018787922731
145,145,0.28017318369092814,0.28017318369092814,0.28017318369092814
146,146,0.277372762309922,0.277372762309922,0.277372762309922
147,147,0.27460033204429635,0.27460033204429635,0.27460033204429635
148,148,0.2718556131138202,0.2718556131138202,0.2718556131138202
149,149,0.2691383285347566,0.2691383285347566,0.2691383285347566
150,150,0.26644820409191033,0.26644820409191033,0.26644820409191033
